label,date,F1
481,1008,0
482,1001,0
483,1009,0
484,1009,0
485,1001,0
486,1002,0
487,1005,0
488,1004,0
489,1004,0
490,999,0
491,1011,0
492,1006,0
493,1015,0
494,1027,0
495,1027,0
496,1026,0
497,1029,0
498,1020,0
499,1014,0
500,1028,0
501,1028,0
502,1011,0
503,1023,0
504,1031,0
505,1044,0
506,1044,0
507,1123,0
508,1134,0
509,1158,0
510,1215,0
511,1287,0
512,1367,0
513,1454,0
514,1528,0
515,1653,0
516,1742,0
517,1720,0
518,1699,0
519,1728,0
520,1752,0
521,1767,0
522,1799,0
523,1836,0
524,1830,0
525,1855,0
526,1904,0
527,1843,0
528,1849,0
529,1833,0
530,1837,0
531,1838,0
532,1836,0
533,1854,0
534,1817,0
535,1810,0
536,1814,0
537,1807,0
538,1773,0
539,1798,0
540,1755,0
541,1743,0
542,1736,0
543,1749,0
544,1748,0
545,1706,0
546,1679,0
547,1631,0
548,1603,0
549,1448,0
550,1375,0
551,1393,0
552,1327,0
553,1345,0
554,1309,0
555,1158,0
556,1176,0
557,1196,0
558,1197,0
559,1168,0
560,1146,0
561,1151,0
562,1071,0
563,1108,0
564,1118,0
565,1130,0
566,1086,0
567,1139,0
568,1148,0
569,1130,0
570,1136,0
571,1127,0
572,1125,0
573,1095,0
574,1078,0
575,1088,0
576,1106,0
577,1104,0
578,1076,0
579,1104,0
580,1097,0
581,1095,0
582,1132,0
583,1076,0
584,1135,0
585,1114,0
586,1081,0
587,1123,0
588,1074,0
589,1030,0
590,1035,0
591,1061,0
592,1060,0
593,1079,0
594,1112,0
595,1096,0
596,1132,0
597,1148,0
598,1149,0
599,1135,0
600,1119,0
601,1131,0
602,1152,0
603,1198,0
604,1202,0
605,1335,0
606,1344,0
607,1323,0
608,1422,0
609,1463,0
610,1629,0
611,1839,0
612,1822,0
613,1847,0
614,1833,0
615,1979,0
616,1936,0
617,1874,0
618,1862,0
619,1895,0
620,1820,0
621,1856,0
622,1859,0
623,1803,0
624,1763,0
625,1834,0
626,1822,0
627,1813,0
628,1836,0
629,1828,0
630,1757,0
631,1745,0
632,1796,0
633,1794,0
634,1779,0
635,1749,0
636,1811,0
637,1783,0
638,1706,0
639,1724,0
640,1702,0
641,1637,0
642,1603,0
643,1561,0
644,1475,0
645,1355,0
646,1307,0
647,1246,0
648,1218,0
649,1210,0
650,1174,0
651,1098,0
652,1083,0
653,1088,0
654,1060,0
655,1056,0
656,1064,0
657,1054,0
658,1057,0
659,1039,0
660,1045,0
661,1024,0
662,1004,0
663,1029,0
664,982,0
665,1004,0
666,999,0
667,1025,0
668,1027,0
669,1021,0
670,1037,0
671,1015,0
672,1002,0
673,1042,0
674,1036,0
675,1022,0
676,998,0
677,1001,0
678,1010,0
679,1010,0
680,1023,0
681,1007,0
682,1051,0
683,1037,0
684,1009,0
685,996,0
686,1019,0
687,1032,0
688,1034,0
689,1005,0
690,980,0
691,1007,0
692,1014,0
693,1036,0
694,1061,0
695,1064,0
696,1046,0
697,1007,0
698,1014,0
699,1045,0
700,1153,0
701,1173,0
702,1196,0
703,1286,0
704,1324,0
705,1473,0
706,1494,0
707,1662,0
708,1714,0
709,1737,0
710,1783,0
711,1851,0
712,1890,0
713,1839,0
714,1762,0
715,1820,0
716,1786,0
717,1816,0
718,1756,0
719,1760,0
720,1710,0
721,1705,0
722,1711,0
723,1730,0
724,1752,0
725,1755,0
726,1742,0
727,1745,0
728,1747,0
729,1744,0
730,1716,0
731,1693,0
732,1702,0
733,1727,0
734,1644,0
735,1617,0
736,1680,0
737,1695,0
738,1697,0
739,1610,0
740,1511,0
741,1393,0
742,1335,0
743,1269,0
744,1239,0
745,1208,0
746,1163,0
747,1118,0
748,1121,0
749,1129,0
750,1098,0
751,1059,0
752,1052,0
753,1049,0
754,1049,0
755,1090,0
756,1077,0
757,1051,0
758,1052,0
759,1020,0
760,1014,0
761,1041,0
762,1034,0
763,1032,0
764,1034,0
765,1044,0
766,1040,0
767,1049,0
768,1052,0
769,1058,0
770,1007,0
771,1003,0
772,985,0
773,994,0
774,974,0
775,1011,0
776,1001,0
777,1042,0
778,999,0
779,1016,0
780,987,0
781,984,0
782,1002,0
783,1053,0
784,1070,0
785,1046,0
786,1011,0
787,1010,0
788,1015,0
789,1029,0
790,1056,0
791,1052,0
792,1052,0
793,1099,0
794,1129,0
795,1146,0
796,1153,0
797,1195,0
798,1212,0
799,1239,0
800,1315,0
801,1371,0
802,1545,0
803,1678,0
804,1804,0
805,1833,0
806,1839,0
807,1915,0
808,1919,0
809,1849,0
810,1756,0
811,1822,0
812,1791,0
813,1885,0
814,1939,0
815,1941,0
816,1958,0
817,1914,0
818,1926,0
819,2030,0
820,1935,0
821,1902,0
822,1848,0
823,1808,0
824,1801,0
825,1786,0
826,1852,0
827,1839,0
828,1843,0
829,1839,0
830,1876,0
831,1899,0
832,1853,0
833,1738,0
834,1693,0
835,1568,0
836,1563,0
837,1393,0
838,1329,0
839,1261,0
840,1350,0
841,1320,0
842,1263,0
843,1215,0
844,1218,0
845,1207,0
846,1158,0
847,1159,0
848,1179,0
849,1125,0
850,1110,0
851,1133,0
852,1076,0
853,1026,0
854,1106,0
855,1160,0
856,1106,0
857,1036,0
858,1155,0
859,1156,0
860,1165,0
861,1188,0
862,1199,0
863,1139,0
864,1135,0
865,1111,0
866,1084,0
867,1071,0
868,1078,0
869,1035,0
870,1064,0
871,1059,0
872,1049,0
873,1023,0
874,1037,0
875,1073,0
876,1107,0
877,1070,0
878,1015,0
879,1066,0
880,977,0
881,1045,0
882,988,0
883,942,0
884,981,0
885,1026,0
886,1051,0
887,1125,0
888,1121,0
889,1135,0
890,1115,0
891,1089,0
892,1128,0
893,1163,0
894,1205,0
895,1238,0
896,1334,0
897,1425,0
898,1552,0
899,1741,0
900,1779,0
901,1788,0
902,1825,0
903,1812,0
904,1774,0
905,1790,0
906,1795,0
907,1853,0
908,1842,0
909,1753,0
910,1682,0
911,1832,0
912,1809,0
913,1773,0
914,1767,0
915,1831,0
916,1835,0
917,1842,0
918,1839,0
919,1858,0
920,1857,0
921,1846,0
922,1760,0
923,1782,0
924,1773,0
925,1728,0
926,1708,0
927,1653,0
928,1594,0
929,1574,0
930,1545,0
931,1512,0
932,1457,0
933,1361,0
934,1301,0
935,1270,0
936,1247,0
937,1206,0
938,1151,0
939,1102,0
940,1096,0
941,1102,0
942,1088,0
943,1067,0
944,1053,0
945,1059,0
946,1064,0
947,1057,0
948,1058,0
949,1070,0
950,1050,0
951,1060,0
952,1039,0
953,1063,0
954,1061,0
955,1046,0
956,1048,0
957,1033,0
958,1046,0
959,1050,0
960,1043,0
961,1043,1
962,1043,1
963,1046,1
964,1028,1
965,1042,1
966,1042,1
967,1055,1
968,1035,1
969,1024,1
970,1031,1
971,1038,1
972,1053,1
973,1046,1
974,1039,1
975,1041,1
976,1039,1
977,1036,1
978,1040,1
979,1050,1
980,1039,1
981,1042,1
982,1037,1
983,1045,1
984,1045,1
985,1034,1
986,1041,1
987,1031,1
988,1029,1
989,1027,1
990,1042,1
991,1049,1
992,1043,1
993,1033,1
994,1047,1
995,1035,1
996,1037,1
997,1036,1
998,1027,1
999,1022,1
1000,1032,1
1001,1040,1
1002,1036,1
1003,1036,1
1004,1052,1
1005,1043,1
1006,1054,1
1007,1043,1
1008,1051,1
1009,1049,1
1010,1030,1
1011,1024,1
1012,1011,1
1013,1046,1
1014,1021,1
1015,1035,1
1016,1026,1
1017,1031,1
1018,1031,1
1019,1033,1
1020,1023,1
1021,1032,1
1022,1016,1
1023,1026,1
1024,1019,1
1025,1008,1
1026,1035,1
1027,1006,1
1028,1032,1
1029,1041,1
1030,1036,1
1031,1011,1
1032,1039,1
1033,1043,1
1034,1040,1
1035,1042,1
1036,1058,1
1037,1047,1
1038,1065,1
1039,1045,1
1040,1048,1
1041,1039,1
1042,1032,1
1043,1019,1
1044,989,1
1045,960,1
1046,979,1
1047,963,1
1048,955,1
1049,941,1
1050,959,1
1051,971,1
1052,971,1
1053,978,1
1054,965,1
1055,961,1
1056,980,1
1057,988,1
1058,998,1
1059,1007,1
1060,1000,1
1061,1024,1
1062,1011,1
1063,1005,1
1064,1025,1
1065,995,1
1066,1003,1
1067,993,1
1068,1008,1
1069,1000,1
1070,1011,1
1071,1006,1
1072,1014,1
1073,1004,1
1074,992,1
1075,976,1
1076,979,1
1077,977,1
1078,971,1
1079,959,1
1080,949,1
1081,951,1
1082,970,1
1083,958,1
1084,955,1
1085,995,1
1086,1010,1
1087,1008,1
1088,1022,1
1089,1028,1
1090,1038,1
1091,1053,1
1092,976,1
1093,966,1
1094,925,1
1095,971,1
1096,978,1
1097,1013,1
1098,1032,1
1099,1042,1
1100,1037,1
1101,1039,1
1102,1057,1
1103,1030,1
1104,1009,1
1105,1000,1
1106,1003,1
1107,1013,1
1108,980,1
1109,978,1
1110,954,1
1111,962,1
1112,956,1
1113,1001,1
1114,1011,1
1115,1012,1
1116,1016,1
1117,997,1
1118,982,1
1119,972,1
1120,992,1
1121,986,1
1122,992,1
1123,989,1
1124,1006,1
1125,1012,1
1126,995,1
1127,1040,1
1128,1041,1
1129,1020,1
1130,1013,1
1131,1028,1
1132,1016,1
1133,1027,1
1134,1043,1
1135,1012,1
1136,1028,1
1137,1016,1
1138,989,1
1139,1004,1
1140,996,1
1141,995,1
1142,1011,1
1143,976,1
1144,997,1
1145,995,1
1146,995,1
1147,989,1
1148,996,1
1149,987,1
1150,979,1
1151,977,1
1152,985,1
1153,984,0
1154,974,0
1155,943,0
1156,946,0
1157,969,0
1158,974,0
1159,966,0
1160,986,0
1161,990,0
1162,984,0
1163,980,0
1164,973,0
1165,1018,0
1166,991,0
1167,979,0
1168,989,0
1169,1004,0
1170,1012,0
1171,1027,0
1172,1035,0
1173,1013,0
1174,1005,0
1175,1004,0
1176,1004,0
1177,1022,0
1178,1036,0
1179,1046,0
1180,1087,0
1181,1106,0
1182,1119,0
1183,1207,0
1184,1288,0
1185,1354,0
1186,1440,0
1187,1587,0
1188,1685,0
1189,1740,0
1190,1758,0
1191,1862,0
1192,1917,0
1193,1843,0
1194,1801,0
1195,1845,0
1196,1891,0
1197,1839,0
1198,1840,0
1199,1833,0
1200,1917,0
1201,1831,0
1202,1813,0
1203,1872,0
1204,1851,0
1205,1835,0
1206,1794,0
1207,1764,0
1208,1796,0
1209,1804,0
1210,1744,0
1211,1713,0
1212,1713,0
1213,1766,0
1214,1794,0
1215,1784,0
1216,1720,0
1217,1695,0
1218,1631,0
1219,1562,0
1220,1493,0
1221,1357,0
1222,1286,0
1223,1237,0
1224,1199,0
1225,1194,0
1226,1165,0
1227,1115,0
1228,1080,0
1229,1087,0
1230,1084,0
1231,1086,0
1232,1044,0
1233,1020,0
1234,1017,0
1235,1007,0
1236,996,0
1237,1033,0
1238,1070,0
1239,1053,0
1240,1031,0
1241,1044,0
1242,1037,0
1243,1017,0
1244,1021,0
1245,1008,0
1246,984,0
1247,1000,0
1248,1031,0
1249,1023,0
1250,1018,0
1251,1000,0
1252,1006,0
1253,997,0
1254,1034,0
1255,1025,0
1256,997,0
1257,1029,0
1258,1060,0
1259,1086,0
1260,1073,0
1261,1050,0
1262,1048,0
1263,1030,0
1264,1021,0
1265,1037,0
1266,1038,0
1267,997,0
1268,1035,0
1269,988,0
1270,1002,0
1271,995,0
1272,998,0
1273,1000,0
1274,1056,0
1275,1139,0
1276,1170,0
1277,1178,0
1278,1222,0
1279,1303,0
1280,1349,0
1281,1413,0
1282,1520,0
1283,1710,0
1284,1809,0
1285,1801,0
1286,1839,0
1287,1908,0
1288,1892,0
1289,1806,0
1290,1780,0
1291,1805,0
1292,1804,0
1293,1768,0
1294,1792,0
1295,1765,0
1296,1785,0
1297,1770,0
1298,1735,0
1299,1755,0
1300,1751,0
1301,1744,0
1302,1735,0
1303,1760,0
1304,1746,0
1305,1767,0
1306,1718,0
1307,1704,0
1308,1714,0
1309,1731,0
1310,1705,0
1311,1648,0
1312,1599,0
1313,1532,0
1314,1518,0
1315,1505,0
1316,1438,0
1317,1344,0
1318,1311,0
1319,1271,0
1320,1239,0
1321,1205,0
1322,1149,0
1323,1125,0
1324,1121,0
1325,1112,0
1326,1088,0
1327,1081,0
1328,1052,0
1329,1039,0
1330,1047,0
1331,1052,0
1332,1086,0
1333,1073,0
1334,1061,0
1335,1067,0
1336,1070,0
1337,1050,0
1338,1050,0
1339,1027,0
1340,1034,0
1341,1020,0
1342,1030,0
1343,1024,0
1344,1011,0
1345,982,0
1346,1023,0
1347,1014,0
1348,988,0
1349,987,0
1350,982,0
1351,973,0
1352,985,0
1353,990,0
1354,1016,0
1355,991,0
1356,995,0
1357,1013,0
1358,990,0
1359,993,0
1360,1001,0
1361,982,0
1362,1007,0
1363,1000,0
1364,1017,0
1365,1023,0
1366,1016,0
1367,1015,0
1368,984,0
1369,994,0
1370,1007,0
1371,1050,0
1372,1072,0
1373,1140,0
1374,1212,0
1375,1251,0
1376,1307,0
1377,1413,0
1378,1529,0
1379,1625,0
1380,1715,0
1381,1776,0
1382,1883,0
1383,1871,0
1384,1885,0
1385,1810,0
1386,1837,0
1387,1877,0
1388,1892,0
1389,1826,0
1390,1903,0
1391,1889,0
1392,1798,0
1393,1757,0
