label,F1
0,1008
0,1001
0,1009
0,1009
0,1001
0,1002
0,1005
0,1004
0,1004
0,999
0,1011
0,1006
0,1015
0,1027
0,1027
0,1026
0,1029
0,1020
0,1014
0,1028
0,1028
0,1011
0,1023
0,1031
0,1044
0,1044
0,1123
0,1134
0,1158
0,1215
0,1287
0,1367
0,1454
0,1528
0,1653
0,1742
0,1720
0,1699
0,1728
0,1752
0,1767
0,1799
0,1836
0,1830
0,1855
0,1904
0,1843
0,1849
0,1833
0,1837
0,1838
0,1836
0,1854
0,1817
0,1810
0,1814
0,1807
0,1773
0,1798
0,1755
0,1743
0,1736
0,1749
0,1748
0,1706
0,1679
0,1631
0,1603
0,1448
0,1375
0,1393
0,1327
0,1345
0,1309
0,1158
0,1176
0,1196
0,1197
0,1168
0,1146
0,1151
0,1071
0,1108
0,1118
0,1130
0,1086
0,1139
0,1148
0,1130
0,1136
0,1127
0,1125
0,1095
0,1078
0,1088
0,1106
0,1104
0,1076
0,1104
0,1097
0,1095
0,1132
0,1076
0,1135
0,1114
0,1081
0,1123
0,1074
0,1030
0,1035
0,1061
0,1060
0,1079
0,1112
0,1096
0,1132
0,1148
0,1149
0,1135
0,1119
0,1131
0,1152
0,1198
0,1202
0,1335
0,1344
0,1323
0,1422
0,1463
0,1629
0,1839
0,1822
0,1847
0,1833
0,1979
0,1936
0,1874
0,1862
0,1895
0,1820
0,1856
0,1859
0,1803
0,1763
0,1834
0,1822
0,1813
0,1836
0,1828
0,1757
0,1745
0,1796
0,1794
0,1779
0,1749
0,1811
0,1783
0,1706
0,1724
0,1702
0,1637
0,1603
0,1561
0,1475
0,1355
0,1307
0,1246
0,1218
0,1210
0,1174
0,1098
0,1083
0,1088
0,1060
0,1056
0,1064
0,1054
0,1057
0,1039
0,1045
0,1024
0,1004
0,1029
0,982
0,1004
0,999
0,1025
0,1027
0,1021
0,1037
0,1015
0,1002
0,1042
0,1036
0,1022
0,998
0,1001
0,1010
0,1010
0,1023
0,1007
0,1051
0,1037
0,1009
0,996
0,1019
0,1032
0,1034
0,1005
0,980
0,1007
0,1014
0,1036
0,1061
0,1064
0,1046
0,1007
0,1014
0,1045
0,1153
0,1173
0,1196
0,1286
0,1324
0,1473
0,1494
0,1662
0,1714
0,1737
0,1783
0,1851
0,1890
0,1839
0,1762
0,1820
0,1786
0,1816
0,1756
0,1760
0,1710
0,1705
0,1711
0,1730
0,1752
0,1755
0,1742
0,1745
0,1747
0,1744
0,1716
0,1693
0,1702
0,1727
0,1644
0,1617
0,1680
0,1695
0,1697
0,1610
0,1511
0,1393
0,1335
0,1269
0,1239
0,1208
0,1163
0,1118
0,1121
0,1129
0,1098
0,1059
0,1052
0,1049
0,1049
0,1090
0,1077
0,1051
0,1052
0,1020
0,1014
0,1041
0,1034
0,1032
0,1034
0,1044
0,1040
0,1049
0,1052
0,1058
0,1007
0,1003
0,985
0,994
0,974
0,1011
0,1001
0,1042
0,999
0,1016
0,987
0,984
0,1002
0,1053
0,1070
0,1046
0,1011
0,1010
0,1015
0,1029
0,1056
0,1052
0,1052
0,1099
0,1129
0,1146
0,1153
0,1195
0,1212
0,1239
0,1315
0,1371
0,1545
0,1678
0,1804
0,1833
0,1839
0,1915
0,1919
0,1849
0,1756
0,1822
0,1791
0,1885
0,1939
0,1941
0,1958
0,1914
0,1926
0,2030
0,1935
0,1902
0,1848
0,1808
0,1801
0,1786
0,1852
0,1839
0,1843
0,1839
0,1876
0,1899
0,1853
0,1738
0,1693
0,1568
0,1563
0,1393
0,1329
0,1261
0,1350
0,1320
0,1263
0,1215
0,1218
0,1207
0,1158
0,1159
0,1179
0,1125
0,1110
0,1133
0,1076
0,1026
0,1106
0,1160
0,1106
0,1036
0,1155
0,1156
0,1165
0,1188
0,1199
0,1139
0,1135
0,1111
0,1084
0,1071
0,1078
0,1035
0,1064
0,1059
0,1049
0,1023
0,1037
0,1073
0,1107
0,1070
0,1015
0,1066
0,977
0,1045
0,988
0,942
0,981
0,1026
0,1051
0,1125
0,1121
0,1135
0,1115
0,1089
0,1128
0,1163
0,1205
0,1238
0,1334
0,1425
0,1552
0,1741
0,1779
0,1788
0,1825
0,1812
0,1774
0,1790
0,1795
0,1853
0,1842
0,1753
0,1682
0,1832
0,1809
0,1773
0,1767
0,1831
0,1835
0,1842
0,1839
0,1858
0,1857
0,1846
0,1760
0,1782
0,1773
0,1728
0,1708
0,1653
0,1594
0,1574
0,1545
0,1512
0,1457
0,1361
0,1301
0,1270
0,1247
0,1206
0,1151
0,1102
0,1096
0,1102
0,1088
0,1067
0,1053
0,1059
0,1064
0,1057
0,1058
0,1070
0,1050
0,1060
0,1039
0,1063
0,1061
0,1046
0,1048
0,1033
0,1046
0,1050
0,1043
1,1043
1,1043
1,1046
1,1028
1,1042
1,1042
1,1055
1,1035
1,1024
1,1031
1,1038
1,1053
1,1046
1,1039
1,1041
1,1039
1,1036
1,1040
1,1050
1,1039
1,1042
1,1037
1,1045
1,1045
1,1034
1,1041
1,1031
1,1029
1,1027
1,1042
1,1049
1,1043
1,1033
1,1047
1,1035
1,1037
1,1036
1,1027
1,1022
1,1032
1,1040
1,1036
1,1036
1,1052
1,1043
1,1054
1,1043
1,1051
1,1049
1,1030
1,1024
1,1011
1,1046
1,1021
1,1035
1,1026
1,1031
1,1031
1,1033
1,1023
1,1032
1,1016
1,1026
1,1019
1,1008
1,1035
1,1006
1,1032
1,1041
1,1036
1,1011
1,1039
1,1043
1,1040
1,1042
1,1058
1,1047
1,1065
1,1045
1,1048
1,1039
1,1032
1,1019
1,989
1,960
1,979
1,963
1,955
1,941
1,959
1,971
1,971
1,978
1,965
1,961
1,980
1,988
1,998
1,1007
1,1000
1,1024
1,1011
1,1005
1,1025
1,995
1,1003
1,993
1,1008
1,1000
1,1011
1,1006
1,1014
1,1004
1,992
1,976
1,979
1,977
1,971
1,959
1,949
1,951
1,970
1,958
1,955
1,995
1,1010
1,1008
1,1022
1,1028
1,1038
1,1053
1,976
1,966
1,925
1,971
1,978
1,1013
1,1032
1,1042
1,1037
1,1039
1,1057
1,1030
1,1009
1,1000
1,1003
1,1013
1,980
1,978
1,954
1,962
1,956
1,1001
1,1011
1,1012
1,1016
1,997
1,982
1,972
1,992
1,986
1,992
1,989
1,1006
1,1012
1,995
1,1040
1,1041
1,1020
1,1013
1,1028
1,1016
1,1027
1,1043
1,1012
1,1028
1,1016
1,989
1,1004
1,996
1,995
1,1011
1,976
1,997
1,995
1,995
1,989
1,996
1,987
1,979
1,977
1,985
0,984
0,974
0,943
0,946
0,969
0,974
0,966
0,986
0,990
0,984
0,980
0,973
0,1018
0,991
0,979
0,989
0,1004
0,1012
0,1027
0,1035
0,1013
0,1005
0,1004
0,1004
0,1022
0,1036
0,1046
0,1087
0,1106
0,1119
0,1207
0,1288
0,1354
0,1440
0,1587
0,1685
0,1740
0,1758
0,1862
0,1917
0,1843
0,1801
0,1845
0,1891
0,1839
0,1840
0,1833
0,1917
0,1831
0,1813
0,1872
0,1851
0,1835
0,1794
0,1764
0,1796
0,1804
0,1744
0,1713
0,1713
0,1766
0,1794
0,1784
0,1720
0,1695
0,1631
0,1562
0,1493
0,1357
0,1286
0,1237
0,1199
0,1194
0,1165
0,1115
0,1080
0,1087
0,1084
0,1086
0,1044
0,1020
0,1017
0,1007
0,996
0,1033
0,1070
0,1053
0,1031
0,1044
0,1037
0,1017
0,1021
0,1008
0,984
0,1000
0,1031
0,1023
0,1018
0,1000
0,1006
0,997
0,1034
0,1025
0,997
0,1029
0,1060
0,1086
0,1073
0,1050
0,1048
0,1030
0,1021
0,1037
0,1038
0,997
0,1035
0,988
0,1002
0,995
0,998
0,1000
0,1056
0,1139
0,1170
0,1178
0,1222
0,1303
0,1349
0,1413
0,1520
0,1710
0,1809
0,1801
0,1839
0,1908
0,1892
0,1806
0,1780
0,1805
0,1804
0,1768
0,1792
0,1765
0,1785
0,1770
0,1735
0,1755
0,1751
0,1744
0,1735
0,1760
0,1746
0,1767
0,1718
0,1704
